timestamp,pixelCount
timestamp,pixelCount
2026-07-19 04:08:00,116
2026-07-19 04:09:00,116
2026-07-19 04:10:00,71
2026-07-19 04:11:00,97
2026-07-19 04:12:00,128
2026-07-19 04:13:00,105
2026-07-19 04:14:00,108
2026-07-19 04:15:00,107
2026-07-19 04:16:00,109
2026-07-19 04:17:00,71
2026-07-19 04:18:00,107
2026-07-19 04:19:00,95
2026-07-19 04:20:00,89
2026-07-19 04:21:00,72
2026-07-19 04:22:00,111
2026-07-19 04:23:00,93
2026-07-19 04:24:00,79
2026-07-19 04:25:00,113
2026-07-19 04:26:00,70
2026-07-19 04:27:00,103
2026-07-19 04:28:00,75
2026-07-19 04:29:00,101
2026-07-19 04:30:00,99
2026-07-19 04:31:00,87
2026-07-19 04:32:00,79
2026-07-19 04:33:00,93
2026-07-19 04:34:00,86
2026-07-19 04:35:00,80
2026-07-19 04:36:00,83
2026-07-19 04:37:00,100
2026-07-19 04:38:00,63
2026-07-19 04:39:00,97
2026-07-19 04:40:00,86
2026-07-19 04:41:00,62
2026-07-19 04:42:00,92
2026-07-19 04:43:00,63
2026-07-19 04:44:00,74
2026-07-19 04:45:00,80
2026-07-19 04:46:00,100
2026-07-19 04:47:00,81
2026-07-19 04:48:00,91
2026-07-19 04:49:00,93
2026-07-19 04:50:00,93
2026-07-19 04:51:00,80
2026-07-19 04:52:00,62
2026-07-19 04:53:00,76
2026-07-19 04:54:00,77
2026-07-19 04:55:00,62
2026-07-19 04:56:00,87
2026-07-19 04:57:00,94
2026-07-19 04:58:00,65
2026-07-19 04:59:00,65
2026-07-19 05:00:00,71
2026-07-19 05:01:00,83
2026-07-19 05:02:00,88
2026-07-19 05:03:00,79
2026-07-19 05:04:00,60
2026-07-19 05:05:00,78
2026-07-19 05:06:00,77
2026-07-19 05:07:00,68
2026-07-19 05:08:00,82
2026-07-19 05:09:00,60
2026-07-19 05:10:00,52
2026-07-19 05:11:00,82
2026-07-19 05:12:00,72
2026-07-19 05:13:00,49
2026-07-19 05:14:00,88
2026-07-19 05:15:00,70
2026-07-19 05:16:00,75
2026-07-19 05:17:00,62
2026-07-19 05:18:00,85
2026-07-19 05:19:00,67
2026-07-19 05:20:00,71
2026-07-19 05:21:00,74
2026-07-19 05:22:00,80
2026-07-19 05:23:00,85
2026-07-19 05:24:00,79
2026-07-19 05:25:00,64
2026-07-19 05:26:00,68
2026-07-19 05:27:00,66
2026-07-19 05:28:00,48
2026-07-19 05:29:00,80
2026-07-19 05:30:00,91
2026-07-19 05:31:00,68
2026-07-19 05:32:00,92
2026-07-19 05:33:00,55
2026-07-19 05:34:00,66
2026-07-19 05:35:00,74
2026-07-19 05:36:00,51
2026-07-19 05:37:00,67
2026-07-19 05:38:00,89
2026-07-19 05:39:00,51
2026-07-19 05:40:00,100
2026-07-19 05:41:00,50
2026-07-19 05:42:00,83
2026-07-19 05:43:00,71
2026-07-19 05:44:00,67
2026-07-19 05:45:00,76
2026-07-19 05:46:00,46
2026-07-19 05:47:00,94
2026-07-19 05:48:00,76
2026-07-19 05:49:00,50
2026-07-19 05:50:00,61
2026-07-19 05:51:00,91
2026-07-19 05:52:00,52
2026-07-19 05:53:00,63
2026-07-19 05:54:00,80
2026-07-19 05:55:00,54
2026-07-19 05:56:00,46
2026-07-19 05:57:00,72
2026-07-19 05:58:00,51
2026-07-19 05:59:00,68
2026-07-19 06:00:00,71
2026-07-19 06:01:00,51
2026-07-19 06:02:00,78
2026-07-19 06:03:00,41
2026-07-19 06:04:00,58
2026-07-19 06:05:00,45
2026-07-19 06:06:00,57
2026-07-19 06:07:00,61
2026-07-19 06:08:00,70
2026-07-19 06:09:00,51
2026-07-19 06:10:00,52
2026-07-19 06:11:00,56
2026-07-19 06:12:00,53
2026-07-19 06:13:00,50
2026-07-19 06:14:00,82
2026-07-19 06:15:00,67
2026-07-19 06:16:00,82
2026-07-19 06:17:00,49
2026-07-19 06:18:00,62
2026-07-19 06:19:00,48
2026-07-19 06:20:00,70
2026-07-19 06:21:00,54
2026-07-19 06:22:00,54
